cubin,kernel,total_inst,HMMA,IMMA,LDSM,LDS,STS,LDGSTS,LDG,STG,FFMA,FADD,FMUL,FSEL,MUFU,SHFL,IADD3,IMAD,ISETP,LOP3,BRA,EXIT,BAR,BARRIER,WARPSYNC,NOP,S2R,other,useful_pct
kernels/gemm/sgemm/register_blocked.sm_86.cubin,sgemm_register_blocked,1016,0,0,0,89,14,0,14,16,512,0,0,0,0,0,45,50,59,15,18,2,2,0,0,10,3,167,50.4
kernels/attention/flash_attention/flash_attn.sm_86.cubin,flash_attn_multihead,1224,0,0,0,128,14,0,16,2,138,227,135,0,38,160,47,20,18,21,15,1,0,0,0,17,6,221,40.8
kernels/attention/flash_attention/flash_attn_br16_v2_bc128.sm_86.cubin,flash_attn_br16_v2_bc128,1496,128,0,96,0,46,0,30,32,13,138,326,0,72,9,51,21,23,30,22,3,4,0,6,8,10,428,40.4
kernels/attention/flash_attention/flash_br16_v2_bc128.sm_86.cubin,flash_attn_br16_v2_bc128,1496,128,0,96,0,46,0,30,32,13,138,326,0,72,9,51,21,23,30,22,3,4,0,6,8,10,428,40.4
kernels/attention/flash_attention/flash_attn.sm_86.cubin,flash_attn_1warp,1272,0,0,0,128,14,0,16,2,138,227,135,0,38,160,46,16,33,25,26,2,0,0,0,13,3,250,39.3
kernels/elementwise/activations/activations_fast.sm_86.cubin,gelu_kernel,72,0,0,0,0,0,0,4,4,4,4,20,0,4,0,3,3,4,0,1,5,0,0,0,10,2,4,38.9
kernels/elementwise/activations/activations.sm_86.cubin,gelu_kernel,72,0,0,0,0,0,0,4,4,4,4,20,0,4,0,3,3,4,0,1,5,0,0,0,10,2,4,38.9
kernels/attention/flash_attention/flash_wmma.sm_86.cubin,flash_attn_4warp,4152,0,0,0,382,14,0,16,2,264,770,454,0,70,321,42,16,18,21,21,2,2,0,2,13,6,1716,35.8
kernels/attention/flash_attention/flash_br16_v2.sm_86.cubin,flash_attn_br16_v2,1024,64,0,48,0,30,0,30,32,13,74,198,0,40,9,40,55,23,30,22,3,4,0,6,10,10,283,34.1
kernels/attention/cross_attention/cross_attn_v2.sm_86.cubin,cross_attn_v2,1040,64,0,48,0,30,0,30,32,13,74,198,0,40,9,39,63,23,30,22,3,4,0,6,8,12,292,33.6
kernels/attention/flash_attention/flash_v2_persistent.sm_86.cubin,flash_attn_v2_persistent,1088,64,0,48,1,31,0,30,32,13,74,198,0,42,9,48,82,33,34,25,1,6,0,6,8,5,298,32.1
kernels/attention/flash_attention/flash_br16_bc128.sm_86.cubin,flash_attn_bc128,4080,128,0,96,236,283,0,30,32,70,433,640,0,180,161,96,154,59,42,58,17,4,0,5,16,7,1333,31.2
kernels/attention/flash_attention/flash_v2_persistent_pad.sm_86.cubin,flash_attn_v2_persistent_pad,1120,64,0,48,1,31,0,30,32,13,74,198,0,42,9,51,97,33,33,25,1,6,0,6,11,5,310,31.2
kernels/attention/flash_attention/flash_br16_regpv_full.sm_86.cubin,flash_attn_br16_regpv_full,1128,64,0,48,0,30,0,30,32,13,74,198,0,40,9,69,86,23,29,29,3,4,0,6,8,22,311,30.9
kernels/attention/cross_attention/cross_attn_v2_pad.sm_86.cubin,cross_attn_v2_pad,1184,64,0,48,0,30,0,30,32,13,74,198,0,40,9,43,116,23,29,22,3,4,0,6,8,38,354,29.5
kernels/attention/flash_attention/flash_attn_br16_v2_pad.sm_86.cubin,flash_attn_br16_v2_pad,1184,64,0,48,0,30,0,30,32,13,74,198,0,40,9,43,116,23,29,22,3,4,0,6,9,38,353,29.5
kernels/attention/flash_attention/flash_br16_v2_pad.sm_86.cubin,flash_attn_br16_v2_pad,1184,64,0,48,0,30,0,30,32,13,74,198,0,40,9,43,116,23,29,22,3,4,0,6,9,38,353,29.5
kernels/reductions/layernorm/layernorm.sm_86.cubin,layernorm_warp,384,0,0,0,0,0,0,3,1,78,18,13,1,14,14,11,11,14,17,33,3,0,0,0,10,2,141,28.4
