"trace","speedup","n","m"
"radial_mid_0",1.07,2,1
"radial_mid_pi6",0.99,2,1
"radial_mid_pi3",1.01,2,1
"radial_bnd_pi12",0.92,2,1
"radial_bnd_pi4",1.03,2,1
"radial_bnd_5pi12",1.03,2,1
"circular_r060",0.7,2,1
"circular_r030",1.85,2,1
"polar_tile_pi6",0.93,2,1
"polar_tile_pi4",1.21,2,1
"radial_bias_07",0.96,2,1
"radial_bias_00",0.95,2,1
"rowmajor_full",0.71,2,1
"colmajor_full",1.02,2,1
"random",1.03,2,1
"radial_mid_0",0.99,2,2
"radial_mid_pi6",1.44,2,2
"radial_mid_pi3",1.06,2,2
"radial_bnd_pi12",1.02,2,2
"radial_bnd_pi4",0.72,2,2
"radial_bnd_5pi12",0.67,2,2
"circular_r060",1.34,2,2
"circular_r030",1.26,2,2
"polar_tile_pi6",0.99,2,2
"polar_tile_pi4",1.03,2,2
"radial_bias_07",1.07,2,2
"radial_bias_00",1,2,2
"rowmajor_full",0.7,2,2
"colmajor_full",0.96,2,2
"random",1.03,2,2
"radial_mid_0",1,2,3
"radial_mid_pi6",1.56,2,3
"radial_mid_pi3",0.95,2,3
"radial_bnd_pi12",0.99,2,3
"radial_bnd_pi4",0.67,2,3
"radial_bnd_5pi12",1.02,2,3
"circular_r060",1.24,2,3
"circular_r030",2.15,2,3
"polar_tile_pi6",0.91,2,3
"polar_tile_pi4",1.09,2,3
"radial_bias_07",1.01,2,3
"radial_bias_00",1,2,3
"rowmajor_full",0.7,2,3
"colmajor_full",0.8,2,3
"random",1.01,2,3
"radial_mid_0",1,2,4
"radial_mid_pi6",1.6,2,4
"radial_mid_pi3",1,2,4
"radial_bnd_pi12",0.99,2,4
"radial_bnd_pi4",0.92,2,4
"radial_bnd_5pi12",1,2,4
"circular_r060",1.29,2,4
"circular_r030",1.7,2,4
"polar_tile_pi6",1.02,2,4
"polar_tile_pi4",0.99,2,4
"radial_bias_07",0.99,2,4
"radial_bias_00",1.03,2,4
"rowmajor_full",0.66,2,4
"colmajor_full",0.97,2,4
"random",1.01,2,4
"radial_mid_0",0.92,2,5
"radial_mid_pi6",1.63,2,5
"radial_mid_pi3",0.69,2,5
"radial_bnd_pi12",0.95,2,5
"radial_bnd_pi4",1,2,5
