cubin,kernel,regs,block_size,regs_per_block,smem_static_kb,smem_dynamic,local_bytes,has_spill,const_bytes,theo_blocks_sm,warps_per_sm
phase2/igemm/igemm_8warp_256x256.imma_s02.sm_86.cubin,igemm_8warp_256x256,255,256,65280,40,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_256x256.imma_s04.sm_86.cubin,igemm_8warp_256x256,255,256,65280,40,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_256x256.sm_86.cubin,igemm_8warp_256x256,255,256,65280,40,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_warp_specialized.imma_s02.sm_86.cubin,igemm_warp_specialized,255,256,65280,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_warp_specialized.imma_s04.sm_86.cubin,igemm_warp_specialized,255,256,65280,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_warp_specialized.sm_86.cubin,igemm_warp_specialized,255,256,65280,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_online_quant.sm_86.cubin,igemm_online_quant,239,256,61184,48,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_persistent.sm_86.cubin,igemm_persistent,234,256,59904,32,FALSE,0,FALSE,408,1,8
phase2/igemm/igemm_online_quant_inplace.sm_86.cubin,igemm_online_quant_inplace,213,256,54528,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_online_quant_bankfree.sm_86.cubin,igemm_online_quant_bankfree,211,256,54016,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_8warp_256.sm_86.cubin,igemm_8warp_256,210,256,53760,32,FALSE,0,FALSE,396,1,8
phase3/flash_attention/flash_attn_br16_v2_bc128.sm_86.cubin,flash_attn_br16_v2_bc128,187,128,23936,0,TRUE,0,FALSE,396,2,8
phase3/flash_attention/flash_br16_v2_bc128.sm_86.cubin,flash_attn_br16_v2_bc128,187,128,23936,0,FALSE,0,FALSE,396,2,8
phase2/igemm/igemm_register_blocked.sm_86.cubin,igemm_register_blocked,186,128,23808,8,FALSE,0,FALSE,396,2,8
phase2/igemm/igemm_pipelined_cpasync_bk64.sm_86.cubin,igemm_pipelined_cpasync_bk64,168,128,21504,16,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined.imma_s02.sm_86.cubin,igemm_pipelined,168,128,21504,8,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined.imma_s04.sm_86.cubin,igemm_pipelined,168,128,21504,8,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined.sm_86.cubin,igemm_pipelined,168,128,21504,8,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_bc128.sm_86.cubin,flash_attn_bc128,158,128,20224,0,FALSE,0,FALSE,396,3,12
phase4/cross_attention/cross_attn_pipelined.sm_86.cubin,cross_attn_pipelined,158,128,20224,0,TRUE,0,FALSE,400,3,12
phase3/flash_attention/flash_br16_regpv_pad_kv8_w0.sm_86.cubin,flash_attn_br16_regpv_pad,156,128,19968,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_regpv.sm_86.cubin,flash_attn_br16_regpv,156,128,19968,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_regpv_pad_kv0_w4.sm_86.cubin,flash_attn_br16_regpv_pad,152,128,19456,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_regpv_pad_kv8_w4.sm_86.cubin,flash_attn_br16_regpv_pad,152,128,19456,0,FALSE,0,FALSE,396,3,12
phase2/hgemm/hgemm_tiled.sm_86.cubin,hgemm_tiled,148,256,37888,40,FALSE,0,FALSE,388,1,8
phase2/hgemm/hgemm_tiled_direct.sm_86.cubin,hgemm_tiled_direct,145,256,37120,32,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_8warp_tribuf.imma_s02.sm_86.cubin,igemm_8warp_tribuf,144,256,36864,32,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_tribuf.imma_s04.sm_86.cubin,igemm_8warp_tribuf,144,256,36864,32,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_tribuf.sm_86.cubin,igemm_8warp_tribuf,144,256,36864,32,FALSE,0,FALSE,396,1,8
phase3/flash_attention/flash_br16_regpv_lean_qcache.sm_86.cubin,flash_attn_br16_regpv_lean_qcache,144,128,18432,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pipeline.sm_86.cubin,flash_attn_br16_v2_pipeline,140,128,17920,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_v2_persistent.sm_86.cubin,flash_attn_v2_persistent,140,128,17920,0,FALSE,0,FALSE,416,3,12
phase3/flash_attention/flash_br16_v2.sm_86.cubin,flash_attn_br16_v2,138,128,17664,0,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_8warp.imma_s02.sm_86.cubin,igemm_8warp,137,256,35072,24,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp.imma_s04.sm_86.cubin,igemm_8warp,137,256,35072,24,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp.sm_86.cubin,igemm_8warp,137,256,35072,24,FALSE,0,FALSE,396,1,8
phase4/cross_attention/cross_attn_v2.sm_86.cubin,cross_attn_v2,136,128,17408,0,TRUE,0,FALSE,400,3,12
phase3/flash_attention/flash_br16_regpv_full.sm_86.cubin,flash_attn_br16_regpv_full,134,128,17152,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pipeline_pad.sm_86.cubin,flash_attn_br16_v2_pipeline_pad,134,128,17152,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_v2_persistent_pad.sm_86.cubin,flash_attn_v2_persistent_pad,134,128,17152,0,FALSE,0,FALSE,416,3,12
phase3/flash_attention/flash_attn_br16_v2_pad.sm_86.cubin,flash_attn_br16_v2_pad,133,128,17024,0,TRUE,0,FALSE,396,3,12
phase3/flash_attention/flash_attn_br16_v2_pipeline_pad2.sm_86.cubin,flash_attn_br16_v2_pipeline_pad2,133,128,17024,0,TRUE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pad.sm_86.cubin,flash_attn_br16_v2_pad,133,128,17024,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pipeline_pad2.sm_86.cubin,flash_attn_br16_v2_pipeline_pad2,133,128,17024,0,FALSE,0,FALSE,396,3,12
phase4/cross_attention/cross_attn_v2_pad.sm_86.cubin,cross_attn_v2_pad,133,128,17024,0,TRUE,0,FALSE,400,3,12
phase3/flash_attention/flash_br16_regpv_lean.sm_86.cubin,flash_attn_br16_regpv_lean,132,128,16896,0,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined_cpasync.imma_s02.sm_86.cubin,igemm_pipelined_cpasync,126,128,16128,8,FALSE,0,FALSE,396,4,16
phase2/igemm/igemm_pipelined_cpasync.imma_s04.sm_86.cubin,igemm_pipelined_cpasync,126,128,16128,8,FALSE,0,FALSE,396,4,16
phase2/igemm/igemm_pipelined_cpasync.sm_86.cubin,igemm_pipelined_cpasync,126,128,16128,8,FALSE,0,FALSE,396,4,16
phase3/flash_attention/flash_fused.sm_86.cubin,flash_attn_fused,126,128,16128,0,FALSE,0,FALSE,396,4,16
phase3/flash_attention/flash_persistent.sm_86.cubin,flash_attn_persistent,126,128,16128,0,FALSE,0,FALSE,416,4,16
phase3/flash_attention/flash_split_q.sm_86.cubin,flash_attn_split_q,126,128,16128,0,FALSE,0,FALSE,416,4,16
phase2/hgemm/hgemm_256x128.sm_86.cubin,hgemm_256x128,124,512,63488,48,FALSE,0,FALSE,388,1,16
