label,occupancy_pct,tc_util_pct,l1_hit_pct,l2_hit_pct,dram_read_bw,dram_write_bw,load_coalesce_bytes,stall_long_sb,stall_short_sb,stall_wait,stall_mio,stall_lg_throttle,stall_barrier,stall_math_throttle,stall_tex_throttle
"FA v2 baseline (seq=1024,b=8,h=8)",24.2,12.1,10.83,91.43,1.147e+10,7.393e+09,31.06,1.85,2.39,1.08,7.87,0.19,1.55,1.12,0
"FA v2 pipeline (seq=1024,b=8,h=8)",16.43,13.87,9.31,91.55,1.306e+10,8.45e+09,16,0.19,5.41,0.93,6.89,0.16,2.35,1.44,0
"FA v2 persistent (seq=1024,b=8,h=8)",17.07,11.19,11.14,89.42,1.056e+10,6.806e+09,31.06,1.97,2.37,1.08,4.66,0.15,0.92,0.97,0
"FA regpv (legacy, seq=1024,b=8,h=8)",24.27,8.62,23.07,94.87,9.114e+09,1.377e+10,24,2.02,5.47,1.48,4.9,0.1,1.7,0.82,0
HGEMM 16-warp (4096³),65.12,46.3,1.64,76.37,1.683e+11,1.469e+10,0,1.01,2.21,2.63,3.47,0.09,5.33,35.46,0
HGEMM 16-warp+epi (4096³),65.41,26.05,0.26,64.87,9.474e+10,8.252e+09,0,1.72,16.82,2.36,20.98,0.01,17.32,5.91,0
HGEMM 256x128 (4096³),33.3,26.06,2.92,74.08,5.09e+10,7.933e+09,0,1.03,6.03,3.29,24.01,0.15,16.06,15.12,0
Sparse INT8 GEMM (4096³),65.4,13.99,83.43,77.65,1.174e+11,2.802e+10,2.12,10.5,1.54,2.5,10.71,1.06,2.99,0.45,0
"Cross-attn v2 (1024 q, 256 kv, h=8)",21.02,10.5,27.05,86.98,1.896e+10,1.964e+10,28.8,2.6,2.75,1.07,6.18,0.47,1.05,0.99,0
ResBlock implicit GEMM (SD UNet 320ch),14.5,3.19,54.36,98.21,3.498e+09,1.53e+09,10.21,5.13,1.06,2.4,0,0,0.56,0.24,0
